127.0.0.1, 2018-01-10 19:23:51, GET, /, HTTP/1.1, 303, 0.219504
127.0.0.1, 2018-01-10 19:23:52, GET, /welcome/default/index, HTTP/1.1, 200, 0.966653
127.0.0.1, 2018-01-10 19:23:52, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000397
127.0.0.1, 2018-01-10 19:23:52, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000338
127.0.0.1, 2018-01-10 19:23:52, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000315
127.0.0.1, 2018-01-10 19:23:52, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.003391
127.0.0.1, 2018-01-10 19:23:52, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000300
127.0.0.1, 2018-01-10 19:23:52, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.004521
127.0.0.1, 2018-01-10 19:23:52, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000407
127.0.0.1, 2018-01-10 19:23:52, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000612
127.0.0.1, 2018-01-10 19:23:52, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000318
127.0.0.1, 2018-01-10 19:23:52, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.002597
127.0.0.1, 2018-01-10 19:23:53, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000339
127.0.0.1, 2018-01-10 19:23:53, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000254
127.0.0.1, 2018-01-10 19:23:53, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000246
127.0.0.1, 2018-01-10 19:23:53, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000346
127.0.0.1, 2018-01-10 19:24:15, GET, /admin/default/edit/welcome/controllers/default.py, HTTP/1.1, 303, 0.252697
127.0.0.1, 2018-01-10 19:24:15, GET, /admin/default/index, HTTP/1.1, 200, 0.028085
127.0.0.1, 2018-01-10 19:24:15, GET, /admin/static/_2.16.1/js/jquery.js, HTTP/1.1, 200, 0.000426
127.0.0.1, 2018-01-10 19:24:15, GET, /admin/static/_2.16.1/css/calendar.css, HTTP/1.1, 200, 0.000442
127.0.0.1, 2018-01-10 19:24:15, GET, /admin/static/_2.16.1/js/web2py.js, HTTP/1.1, 200, 0.000446
127.0.0.1, 2018-01-10 19:24:15, GET, /admin/static/_2.16.1/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000433
127.0.0.1, 2018-01-10 19:24:15, GET, /admin/static/_2.16.1/js/calendar.js, HTTP/1.1, 200, 0.000333
127.0.0.1, 2018-01-10 19:24:15, GET, /admin/static/_2.16.1/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000305
127.0.0.1, 2018-01-10 19:24:15, GET, /admin/static/_2.16.1/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000674
127.0.0.1, 2018-01-10 19:24:15, GET, /admin/static/_2.16.1/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000301
127.0.0.1, 2018-01-10 19:24:15, GET, /admin/static/_2.16.1/css/bootstrap.min.css, HTTP/1.1, 200, 0.000316
127.0.0.1, 2018-01-10 19:24:15, GET, /admin/static/_2.16.1/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000376
127.0.0.1, 2018-01-10 19:24:15, GET, /admin/static/_2.16.1/js/bootstrap.min.js, HTTP/1.1, 200, 0.000354
127.0.0.1, 2018-01-10 19:24:15, GET, /admin/static/_2.16.1/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.004138
127.0.0.1, 2018-01-10 19:24:15, GET, /admin/static/_2.16.1/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000380
127.0.0.1, 2018-01-10 19:24:15, GET, /admin/static/_2.16.1/images/questions.png, HTTP/1.1, 200, 0.000455
127.0.0.1, 2018-01-10 19:24:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000261
127.0.0.1, 2018-01-10 19:24:20, POST, /admin/default/index, HTTP/1.1, 303, 0.005243
127.0.0.1, 2018-01-10 19:24:20, GET, /admin/default/edit/welcome/controllers/default.py, HTTP/1.1, 200, 0.026329
127.0.0.1, 2018-01-10 19:24:20, GET, /admin/static/_2.16.1/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.000934
127.0.0.1, 2018-01-10 19:24:20, GET, /admin/static/_2.16.1/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.000441
127.0.0.1, 2018-01-10 19:24:20, GET, /admin/static/_2.16.1/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.000427
127.0.0.1, 2018-01-10 19:24:20, GET, /admin/static/_2.16.1/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.000465
127.0.0.1, 2018-01-10 19:24:20, GET, /admin/static/_2.16.1/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.000430
127.0.0.1, 2018-01-10 19:24:20, GET, /admin/static/_2.16.1/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.009630
127.0.0.1, 2018-01-10 19:24:20, GET, /admin/static/_2.16.1/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.000623
127.0.0.1, 2018-01-10 19:24:20, GET, /admin/static/_2.16.1/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.000404
127.0.0.1, 2018-01-10 19:24:20, GET, /admin/static/_2.16.1/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.000607
127.0.0.1, 2018-01-10 19:24:20, GET, /admin/static/_2.16.1/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.000237
127.0.0.1, 2018-01-10 19:24:20, GET, /admin/static/_2.16.1/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.000227
127.0.0.1, 2018-01-10 19:24:20, GET, /admin/static/_2.16.1/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.000761
127.0.0.1, 2018-01-10 19:24:20, GET, /admin/static/_2.16.1/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.000981
127.0.0.1, 2018-01-10 19:24:20, GET, /admin/static/_2.16.1/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.000971
127.0.0.1, 2018-01-10 19:24:20, GET, /admin/static/_2.16.1/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.000782
127.0.0.1, 2018-01-10 19:24:20, GET, /admin/static/_2.16.1/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.001398
127.0.0.1, 2018-01-10 19:24:20, GET, /admin/static/_2.16.1/css/web2py-codemirror.css, HTTP/1.1, 200, 0.004548
127.0.0.1, 2018-01-10 19:24:20, GET, /admin/static/_2.16.1/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.000355
127.0.0.1, 2018-01-10 19:24:20, GET, /admin/static/_2.16.1/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.001674
127.0.0.1, 2018-01-10 19:24:20, GET, /admin/static/_2.16.1/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.000758
127.0.0.1, 2018-01-10 19:24:20, GET, /admin/static/_2.16.1/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.000761
127.0.0.1, 2018-01-10 19:24:20, GET, /admin/static/_2.16.1/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.000788
127.0.0.1, 2018-01-10 19:24:20, GET, /admin/static/_2.16.1/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.000802
127.0.0.1, 2018-01-10 19:24:20, GET, /admin/static/_2.16.1/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.000267
127.0.0.1, 2018-01-10 19:24:20, GET, /admin/static/_2.16.1/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.000233
127.0.0.1, 2018-01-10 19:24:20, GET, /admin/static/_2.16.1/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.000227
127.0.0.1, 2018-01-10 19:24:20, GET, /admin/static/_2.16.1/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.000549
127.0.0.1, 2018-01-10 19:24:20, GET, /admin/static/_2.16.1/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.001167
127.0.0.1, 2018-01-10 19:24:20, GET, /admin/static/_2.16.1/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.000690
127.0.0.1, 2018-01-10 19:24:20, GET, /admin/static/_2.16.1/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.000230
127.0.0.1, 2018-01-10 19:24:20, GET, /admin/static/_2.16.1/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.000338
127.0.0.1, 2018-01-10 19:24:20, GET, /admin/static/_2.16.1/codemirror/emmet.min.js, HTTP/1.1, 200, 0.002837
127.0.0.1, 2018-01-10 19:24:20, GET, /admin/static/_2.16.1/js/ajax_editor.js, HTTP/1.1, 200, 0.000360
127.0.0.1, 2018-01-10 19:24:20, GET, /admin/static/_2.16.1/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.000255
127.0.0.1, 2018-01-10 19:24:20, GET, /admin/static/_2.16.1/js/typeahead.min.js, HTTP/1.1, 200, 0.000907
127.0.0.1, 2018-01-10 19:24:20, GET, /admin/static/_2.16.1/images/files_toggle.png, HTTP/1.1, 200, 0.000342
127.0.0.1, 2018-01-10 19:24:20, GET, /admin/static/_2.16.1/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000373
127.0.0.1, 2018-01-10 19:24:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000250
127.0.0.1, 2018-01-10 19:24:20, GET, /admin/default/edit/welcome/controllers/default.py, HTTP/1.1, 200, 0.046980
127.0.0.1, 2018-01-10 19:24:20, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.046537
127.0.0.1, 2018-01-10 19:24:20, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.074485
127.0.0.1, 2018-01-10 19:24:20, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.154758
127.0.0.1, 2018-01-10 19:24:20, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.124370
127.0.0.1, 2018-01-10 19:24:20, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.189290
127.0.0.1, 2018-01-10 19:24:20, GET, /admin/static/_2.16.1/images/save_icon.png, HTTP/1.1, 200, 0.000785
127.0.0.1, 2018-01-10 19:25:07, GET, /admin/default/edit/welcome/views/generic.ics, HTTP/1.1, 200, 0.007604
127.0.0.1, 2018-01-10 19:25:07, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.002284
127.0.0.1, 2018-01-10 19:25:09, GET, /admin/default/edit/welcome/controllers/default.py, HTTP/1.1, 200, 0.007380
127.0.0.1, 2018-01-10 19:25:15, GET, /admin/default/index, HTTP/1.1, 303, 0.001507
127.0.0.1, 2018-01-10 19:25:15, GET, /admin/default/site, HTTP/1.1, 200, 0.044548
127.0.0.1, 2018-01-10 19:25:15, GET, /admin/static/_2.16.1/images/folder_locked.png, HTTP/1.1, 200, 0.000375
127.0.0.1, 2018-01-10 19:25:15, GET, /admin/static/_2.16.1/images/folder.png, HTTP/1.1, 200, 0.000350
127.0.0.1, 2018-01-10 19:25:15, GET, /admin/static/_2.16.1/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000341
127.0.0.1, 2018-01-10 19:25:15, POST, /admin/default/check_version, HTTP/1.1, 200, 0.507289
127.0.0.1, 2018-01-10 19:25:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000299
127.0.0.1, 2018-01-10 19:25:19, GET, /admin/default/site, HTTP/1.1, 200, 0.023739
127.0.0.1, 2018-01-10 19:25:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000201
127.0.0.1, 2018-01-10 19:25:21, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.005750
127.0.0.1, 2018-01-10 19:25:22, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 1.075366
127.0.0.1, 2018-01-10 19:25:26, GET, /examples/default/index, HTTP/1.1, 200, 0.155364
127.0.0.1, 2018-01-10 19:25:26, GET, /examples/static/css/calendar.css, HTTP/1.1, 200, 0.001837
127.0.0.1, 2018-01-10 19:25:26, GET, /examples/static/css/stupid.css, HTTP/1.1, 200, 0.000427
127.0.0.1, 2018-01-10 19:25:26, GET, /examples/static/css/web2py.css, HTTP/1.1, 200, 0.000385
127.0.0.1, 2018-01-10 19:25:26, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.004372
127.0.0.1, 2018-01-10 19:25:26, GET, /examples/static/js/jquery.js, HTTP/1.1, 200, 0.000699
127.0.0.1, 2018-01-10 19:25:26, GET, /examples/static/js/calendar.js, HTTP/1.1, 200, 0.000677
127.0.0.1, 2018-01-10 19:25:26, GET, /examples/static/js/web2py.js, HTTP/1.1, 200, 0.000965
127.0.0.1, 2018-01-10 19:25:26, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 200, 0.001032
127.0.0.1, 2018-01-10 19:25:26, GET, /examples/static/images/book-5th.png, HTTP/1.1, 200, 0.001222
127.0.0.1, 2018-01-10 19:25:26, GET, /examples/static/images/videos.png, HTTP/1.1, 200, 0.000563
127.0.0.1, 2018-01-10 19:25:26, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 200, 0.001122
127.0.0.1, 2018-01-10 19:25:26, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 200, 0.000643
127.0.0.1, 2018-01-10 19:25:26, GET, /examples/static/images/favicon.ico, HTTP/1.1, 200, 0.001566
127.0.0.1, 2018-01-10 19:25:40, GET, /admin/default/site, HTTP/1.1, 200, 0.020889
